id;paevakaja_id;nimi
405;168;Port Mart
406;169;Käbin Johannes
407;169;Õunap Hans
408;169;Kingissepp Ants
409;170;Port Mart
410;171;Keres Paul
411;171;Hololei Gunnar
412;172;Ariste Paul
413;173;Kotkas Johannes
414;174;Vikström Inger
415;175;Aavik Priidu
416;176;Päts Riho
417;177;Jepišev Aleksei
418;178;Toom Liidia
419;180;Panso Voldemar
420;181;Klandorf
421;181;Aavik
422;182;Soonik
423;183;Mikk Vello
424;184;Kallemaa Karl
425;185;Luud Lauri
426;186;Haitov Gidon
427;187;Ilomets Tullio
428;187;Peep Laine
429;188;Vaabel Juhan
430;188;Raid Heiti
431;188;Eelmaa
432;188;Valter
433;188;Vanem Kalle
434;188;Trikkel Ivar
435;188;Luud Lauri
436;188;Brežnev Leonid
437;188;Käär Albert
438;188;Vainu Herbert
439;189;Trikkel Ivar
440;189;Kaasik Feliks
441;189;Variste Jüri
442;189;Repp Aleksander
443;189;Tšetverikova Marionella
444;189;Kahn Hubert
445;189;Kool Ott
446;190;Hansen Jüri
447;190;Sults Kalju
448;190;Lüütre Enn
449;191;Kaasik Feliks
450;191;Beljajev Pavel
451;191;Leonov Aleksei
452;191;Brežnev Leonid
453;192;Järlei Tiia
454;192;Roosimägi Heli
455;192;Karpa Ellen
456;193;Roorand Evald
457;193;Uuehendrik Enn
458;193;Parašin Leonid
459;194;Innos Endel
460;194;Linnamägi Veronika
461;194;Loo Arvi
462;194;Kütt Leida
463;194;Ossep Ants
464;194;Metsatalu Viktor
465;194;Meijel Rudolf
466;194;Tambek Erich
467;194;Turkonen
468;194;Tšernomorova Galina
469;194;Hallik Raimond
470;195;Ukada
471;196;Murdvee Lidia Wilhelmine
472;196;Kullman Anna
473;196;Kallas Veera
474;197;Krumm Hendrik
475;198;Lauri Lembit
476;198;Kullman Anna
477;199;Takjas Georgi
478;200;Kaasik Feliks
479;200;Frumkin Naum
480;201;Viil Ivar
481;201;Thiel Heinz
482;202;Mägi Olga
483;203;Mägi Olga
484;204;Kord Mari
485;204;Uuk Regina
486;205;Werner Maria
487;206;Popov Andrei
488;206;Panso Voldemar
489;207;Tributs Vladimir
490;207;Hion Ene
491;208;Titma Mikk
492;208;Adamson Karl
493;209;Talvik Elvo
494;209;Gustavson
495;211;Puustjärvi Viljo
496;212;Koskiluoma Jussi
497;213;Podgornõi Nikolai
498;215;Brežnev Leonid
499;216;Miller Fred
500;216;Väljaots Udo
501;217;Leede Valdar
502;217;Volke Leoniide
503;217;Kruus Liidia
504;218;Svinhufvud Veikko
505;218;Tihhonov Nikolai
506;219;Lupp Heinu
507;219;Chakravarttu
508;219;Bloke Carl
509;219;Polevoi Boriss
510;219;Rose
511;220;Käbin Johannes
512;220;Klauson Valter
513;220;Piip Leonhard
514;220;Saul Bruno
515;221;Kool Ott
516;222;Oldekop
517;222;Karisma Niina
518;222;Alumäe Vladimir
519;222;Panso Voldemar
520;222;Lemmik
521;222;Kool Ott
522;223;Lupp Heinu
523;223;Makk Toivo
524;224;Mikojan Anastass
525;225;Mikojan Anastass
526;226;Titov German
527;227;Käbin Johannes
528;227;Mikojan Anastass
529;227;Titov German
530;227;Jokinen Oke
531;228;Titov German
532;229;Semper Johannes
533;230;Kallikorm Arno
534;230;Rosenberg
535;230;Uusman Paul
536;231;Viies Raoul
537;231;Posti Lauri
538;232;Titov German
539;233;Müürisepp Aleksei
540;233;Tuuminen Viljam
541;234;Gideonin Onni
542;234;Nuotio Auvo
543;234;Juotsela Teijo
544;235;Wickremasinghe S. A.
545;236;Trevetti Eric
546;237;Uusman Paul
547;238;Käbin Johannes
548;239;Aben Aleksander
549;240;Sillaots Peet
550;240;Vilson Albert
551;240;Kallas Evald
552;240;Dopschadt Adolf
553;242;Trikkel Ivar
554;242;Kreem Enn
555;243;Eek Eino
556;243;Pille Alfred
557;244;Viiroja
558;245;Basankovics Jazeps
559;245;Maikovskis Boleslavs
560;245;Vaicuks Peteris
561;246;Titov German
562;247;Kurvits Aleksander
563;248;Aarna Agu
564;249;Lott Johannes
565;249;Rull
566;250;Tõnissoo Hermann
567;250;Anniko Elmar
568;251;Jensen
569;251;Okas Evald
570;252;Ird Kaarel
571;253;Rodionovitš Mark
572;254;Kamenik Viktor
573;254;Märtin Endla
574;255;Mäe Asta
575;255;Langemets Lehte
576;256;Hion Ene
577;257;Undusk Johannes
578;257;Štein Leonid
579;258;Pragi Eduard
580;258;Piibur Richard
581;259;Tiitus Romulus
582;260;Pointer Davies
583;261;Sisask Heino
584;261;Müürisepp Aleksei
585;261;Keres Paul
586;262;Talvi Aino
587;263;Kossõgin Aleksei
588;264;Männik Eduard
589;265;Tuglas Friedebert
590;265;Lentsman Leonid
591;265;Rummo Paul
592;265;Parve Ralf
593;265;Remmelgas Lembit
594;266;Väli Heino
595;266;Gross Villem
596;266;Rummo Paul
597;266;Traat Mats
598;266;Laht Uno
599;266;Maasik Einar
600;267;Sirge Rudolf
601;267;Semper Johannes
602;267;Runnel Hando
603;267;Smuul Juhan
604;269;Normak Evald
605;270;Mennist
606;271;Särev Andres
607;271;Markus Vambola
608;272;Koni August
609;273;Beljajev Pavel
610;273;Leonov Aleksei
611;273;Gen Tsoi Jen
612;273;Tsedenbal Jumžagiin
613;273;Bin Nguen Thi
614;273;Rebane K.
615;273;Väljas Vaino
616;273;Cunjal Alberto
617;273;Kashtan William
618;273;Vader Artur
619;273;Saar N.
620;273;Langholts L.
621;273;Lengvinas Kazimeras
622;273;Komarov Vladimir
623;273;Rochet Waldech
624;273;Petranek Jan
625;273;Lorent Henry
626;273;Levitan Juri
627;273;Klauson Valter
628;273;Gollan John
629;273;Acosta Raul
630;273;Tereškova Valentina
631;273;Fürnberg Friedel
632;274;Jegorotšev
633;274;Tereškova Valentina
634;274;Gagarin Juri
635;276;Massalov Georgi
636;277;Carssa Maximo de Leon
637;277;Viilup Väino
638;277;Niisuke Ülo
639;277;Lehepuu Enn
640;277;Kiisk Kaljo
641;277;Reinsoo Kusta
642;277;Aarna Agu
643;278;Läti Hilja
644;278;Põld Eerik
645;279;Mesel Jaan
646;280;Ramires Raoul
647;280;Riodorto Ramon
648;280;Viera Eduardo
649;281;Trikkel Ivar
650;281;Soosaar Mark
651;281;Pormeister Valve
652;281;Boikova Elvira
653;281;Lään Vello
654;281;Lott Jüri
655;281;Masurovski Pjotr
656;281;Krell Kaljo
657;281;Turunen Martti
658;281;Mikk Vello
659;281;Ernesaks Gustav
660;281;Verlin Lembit
661;281;Käär Albert
662;281;Vainu Herbert
663;281;Hazak Gabriel
664;281;Makk Toivo
665;281;Kool Ott
666;281;Põder Loreida
667;281;Ripus Aino
668;281;Ploompuu Eldur
669;282;Green Arnold
670;282;Laus Albert
671;282;Väljaots Udo
672;282;Ird Kaarel
673;283;Tinn Uno
674;284;Link Harri
675;284;Renn Ants
676;285;Tõnurist Edgar
677;286;Martinez Aurelio
678;287;Gaulle Charles de
679;288;Ilves Elfriede
680;289;Brodski Leonid
681;289;Kaasik Feliks
682;289;Golovin Valeri
683;289;Rüütel Arnold
684;289;Laurits Laine
685;289;Rohtla Heino
686;289;Lihu Martin
687;289;Puulma Viktor
688;289;Melnikov Artur
689;289;Tamm Volbert
690;289;Kutsar Leonid
691;289;Trikkel Ivar
692;289;Vares Jaan
693;289;Radinovitš Mark
694;290;Ariste Paul
695;291;Karm Kaarel
696;292;Makk Toivo
697;292;Pant Valdo
698;292;Lauri Lembit
699;292;Kaasik Feliks
700;292;Kivilo Hans
701;292;Ilves Elfriede
702;292;Raid Heiti
703;292;Randalu Helve
704;292;Virkus Juhan
705;292;Immonen Paavo
706;292;Mikk Vello
707;292;Samussenko Vassili
708;292;Luurman Heino
709;292;Prooses Endel
710;292;Sikka Aksel
711;292;Ugaste Udo
712;292;Klink Rein
713;292;Käär Albert
714;292;Jakobson Bernard
715;292;Viil Ivar
716;292;Allika Jaak
717;292;Koik Lydia
718;292;Hansen Jüri
719;293;Rostropovitš Mstislav
720;294;Kullaste Allan
721;295;Rummo Paul
722;295;Alver Betti
723;295;Vaarandi Debora
724;296;Tubin Eduard
725;296;Lehiste Juta
726;296;Küla Mari-Liis
727;296;Suve Enn
728;296;Mikk Vello
729;296;Ugaste Udo
730;297;Trikkel Ivar
731;298;Klement Feodor
732;299;Saarma Jüri
733;300;Kreem Enn
734;300;Trikkel Ivar
735;301;Sild Rein
736;301;Ohakas Vello
737;302;Tamre Asta
738;302;Võhandu Edith
739;302;Koik Ly
740;303;Ritsing Richard
741;303;Ird Kaarel
742;303;Tormis Veljo
743;304;Vilt Mart
744;304;Erik Laine
745;304;Jürgenstein Jaan
746;305;Känd Leo
747;305;Tarn Lehti
748;305;Vagane Heinar
749;305;Masso Salme
750;306;Vilde-Horn Ella
751;306;Treier Elem
752;310;Haug Marika
753;311;Ernesaks Gustav
754;312;Konsap Voldemar
755;313;Makk Toivo
756;313;Ranniku Veljo
757;314;Makk Toivo
758;314;Ranniku Veljo
759;315;Makk Toivo
760;315;Rummo Linda
761;315;Mandri Heino
762;315;Endre Sirje
763;317;Makk Toivo
764;317;Neemaru Elviira
765;317;Remmel Jaan
766;318;Trikkel Ivar
767;318;Anupõld Enn
768;318;Aru Karl
769;318;Peegel Juhan
770;318;Lauri Lembit
771;318;Talvik Mati
772;319;Ajtmatov Tsõngõz
773;320;Trass Hans
774;321;Vaino Karl
775;321;Veskiväli Viljar
776;322;Tereškova Valentina
777;323;Lebbin Armin
778;323;Penu Raimund
779;324;Kodanipork Meta
780;324;Mikk Arne
781;325;Päll Eduard
782;326;Krumm Hendrik
783;327;Oja Olev
784;328;Trikkel Ivar
785;330;Onno Vello
786;330;Novikov Ignati
787;330;Vooremaa Endel
788;331;Virkus Juhan
789;331;Pääro Aldur
790;331;Nurk Uno
791;331;Käbin Olev
792;331;Kaasik Feliks
793;331;Kraam Taimi
794;331;Tahur Irma
795;331;Lepik Rein
796;331;Kool Ott
797;331;Rae Aarne
798;331;Ilves Elfriede
799;331;Serman Ita
800;331;Laurimaa Arvo
801;331;Ohak Helve
802;332;Gerassimov Sergei
803;333;Koidu Jaan
804;333;Õiglane Madis
805;334;Siig Arvi
806;335;Promet Lilli
807;336;Ever Ita
808;337;Meri Lennart
809;337;Tuganov Elbert
810;337;Mikiver Mikk
811;337;Liivik Feliks
812;338;Hint Aadu
813;339;Leete Kai
814;339;Moss Ilmar
815;340;Vare Vello
816;340;Taigro Ülo
817;340;Liblik Hans
818;341;Põldmäe Rudolf
819;342;Sillart Aleksander
820;342;Lauri Lembit
821;343;Paalma Vilma
822;344;Kaal Anu
823;345;Unt Väino
824;346;Green Arnold
825;346;Nõmm Ülo
826;347;Järvet Jüri
827;348;Veldermann Hubert
828;348;Simm Peeter
829;348;Murdmaa Helle
830;348;Neuland Olav
831;348;Müür Jüri
832;348;Karaganov Aleksandr
833;349;Jõgi Maie
834;350;Aren Rein
835;350;Baskakov Vladimir
836;350;Järvet Jüri
837;351;Green Arnold
838;351;Kiisk Kaljo
839;351;Veldermann Hubert
840;352;Osman Ado
841;352;Vanamölder Udo
842;352;Aman Valter
843;353;Veldermann Hubert
844;353;Makk Toivo
845;353;Trikkel Ivar
846;353;Kool Ott
847;354;Saar Andres
848;355;Leet Felix
849;355;Sildoja Jaan
850;355;Olde Maimu
851;355;Meltsas Juhan
852;356;Kuivjõgi Asta
853;357;Unt Väino
854;358;Martin Jüri
855;359;Ernesaks Gustav
856;359;Raa Age
857;360;Aarna Agu
858;360;Mägi Vahur
859;361;Unt Heiki
860;361;Vaikla Anu
861;361;Saarniit Jaak
862;362;Kubjas Ardo
863;362;Loide Lea
864;362;Sikk Toivo
865;363;Kaasik Feliks
866;363;Toome Indrek
867;363;Ristlaan Rein
868;363;Ernesaks Gustav
869;363;Valk Heinz
870;363;Saar Kersten
871;364;Köörna Arno
872;364;Eilart Jaan
873;364;Voorand Viivi
874;365;Kaasik Feliks
875;365;Toome Indrek
876;365;Paal Gunnar
877;365;Ernesaks Gustav
878;365;Veldermann Hubert
879;365;Vaarmann Ellen
880;365;Vaarmann Tõnis
881;365;Valk Heinz
882;365;Hein Peeter
883;365;Ristlaan Rein
884;365;Ilo Helgi
885;365;Saar Kersten
886;366;Aarna Agu
887;367;Paal Gunnar
888;367;Raukas Anto
889;368;Palu Peeter
890;368;Veisman Eduard
891;368;Matskin Harri
892;369;Virkus Juhan
893;370;Viller Jaak
894;372;Ernesaks Gustav
895;372;Okas Evald
896;373;Kiisk Kaljo
897;374;Miller Voldemar
898;374;Lott Mare
899;375;Beekman Vladimir
900;375;Parve Ralf
901;375;Saat Mari
902;375;Eelmäe August
903;375;Vanapa Andres
904;376;Trikkel Ivar
905;377;Aare Mart
906;377;Kool Ott
907;377;Niisuke Ülo
908;377;Parve Taimi
909;378;Oidsalu Anti
910;378;Kuuskemaa Jüri
911;379;Kross Jaan
912;379;Beekman Vladimir
913;379;Ristlaan Rein
